day,segment,segment_volume,unique_wallets,wallet_day_observations
2025-09-02 00:00:00+00:00,Mid,33932058.83283069,3484,3484
2025-09-02 00:00:00+00:00,Retail,14270028.169916065,23715,23715
2025-09-02 00:00:00+00:00,Whale,1111113769.012342,2341,2341
2025-09-03 00:00:00+00:00,Mid,29671266.246295575,3227,3227
2025-09-03 00:00:00+00:00,Retail,11498502.081577824,20045,20045
2025-09-03 00:00:00+00:00,Whale,890617070.3047359,2153,2153
2025-09-04 00:00:00+00:00,Mid,27207318.97782768,3184,3184
2025-09-04 00:00:00+00:00,Retail,12209796.950487928,19492,19492
2025-09-04 00:00:00+00:00,Whale,868824862.8083681,2189,2189
2025-09-05 00:00:00+00:00,Mid,24704010.28680065,2807,2807
2025-09-05 00:00:00+00:00,Retail,9894073.859955134,17566,17566
2025-09-05 00:00:00+00:00,Whale,960517017.8886211,2248,2248
2025-09-06 00:00:00+00:00,Mid,16593257.850896746,2279,2279
2025-09-06 00:00:00+00:00,Retail,7905319.076988708,16446,16446
2025-09-06 00:00:00+00:00,Whale,389992059.3224922,1771,1771
2025-09-07 00:00:00+00:00,Mid,16322419.248937545,2425,2425
2025-09-07 00:00:00+00:00,Retail,8431404.525003625,17532,17532
2025-09-07 00:00:00+00:00,Whale,325129890.50512135,1739,1739
2025-09-08 00:00:00+00:00,Mid,21529219.720893335,2801,2801
2025-09-08 00:00:00+00:00,Retail,9997464.04532542,17590,17590
2025-09-08 00:00:00+00:00,Whale,518153200.76617503,2030,2030
2025-09-09 00:00:00+00:00,Mid,21722854.683595583,2859,2859
2025-09-09 00:00:00+00:00,Retail,10421863.233239401,18447,18447
2025-09-09 00:00:00+00:00,Whale,650113745.6204667,2147,2147
2025-09-10 00:00:00+00:00,Mid,24217509.69894505,3018,3018
2025-09-10 00:00:00+00:00,Retail,11275680.38169128,20539,20539
2025-09-10 00:00:00+00:00,Whale,673110074.9615011,2255,2255
2025-09-11 00:00:00+00:00,Mid,24285417.23724245,3069,3069
2025-09-11 00:00:00+00:00,Retail,11276396.072670778,20288,20288
2025-09-11 00:00:00+00:00,Whale,718530693.4211538,2216,2216
2025-09-12 00:00:00+00:00,Mid,29789161.979791194,3529,3529
2025-09-12 00:00:00+00:00,Retail,13831736.731312048,21942,21942
2025-09-12 00:00:00+00:00,Whale,742340471.0375725,2316,2316
2025-09-13 00:00:00+00:00,Mid,25764484.885902673,3025,3025
2025-09-13 00:00:00+00:00,Retail,12720388.67804758,21447,21447
2025-09-13 00:00:00+00:00,Whale,616614794.3340133,2170,2170
2025-09-14 00:00:00+00:00,Mid,20881675.62388324,2728,2728
2025-09-14 00:00:00+00:00,Retail,10477490.146815615,19325,19325
2025-09-14 00:00:00+00:00,Whale,560040896.5443926,2112,2112
2025-09-15 00:00:00+00:00,Mid,26550881.08208032,3283,3283
2025-09-15 00:00:00+00:00,Retail,12698642.936415568,18398,18398
2025-09-15 00:00:00+00:00,Whale,898869763.5786301,2284,2284
2025-09-16 00:00:00+00:00,Mid,25270690.414439216,3164,3164
2025-09-16 00:00:00+00:00,Retail,13289606.588348243,19825,19825
2025-09-16 00:00:00+00:00,Whale,643364807.0774552,2065,2065
2025-09-17 00:00:00+00:00,Mid,29234297.71542459,3531,3531
2025-09-17 00:00:00+00:00,Retail,15095291.382169595,22259,22259
2025-09-17 00:00:00+00:00,Whale,774057883.7808224,2357,2357
2025-09-18 00:00:00+00:00,Mid,34101388.40016702,4059,4059
2025-09-18 00:00:00+00:00,Retail,18663642.91783894,30478,30478
2025-09-18 00:00:00+00:00,Whale,667260788.2843302,2345,2345
2025-09-19 00:00:00+00:00,Mid,27316248.019754883,3572,3572
2025-09-19 00:00:00+00:00,Retail,16706969.202755136,29909,29909
2025-09-19 00:00:00+00:00,Whale,616426779.2538602,2207,2207
2025-09-20 00:00:00+00:00,Mid,22567844.367782455,2988,2988
2025-09-20 00:00:00+00:00,Retail,11182882.145115815,24234,24234
2025-09-20 00:00:00+00:00,Whale,336861492.6370986,1924,1924
2025-09-21 00:00:00+00:00,Mid,22268650.764956832,2968,2968
2025-09-21 00:00:00+00:00,Retail,10800329.901791643,23568,23568
2025-09-21 00:00:00+00:00,Whale,447405525.7783303,1889,1889
2025-09-22 00:00:00+00:00,Mid,39404023.01985329,4440,4440
2025-09-22 00:00:00+00:00,Retail,15023432.448613986,22029,22029
2025-09-22 00:00:00+00:00,Whale,1022016112.1894621,2747,2747
2025-09-23 00:00:00+00:00,Mid,26325451.85950624,3394,3394
2025-09-23 00:00:00+00:00,Retail,11854105.832292104,21788,21788
2025-09-23 00:00:00+00:00,Whale,682757176.1439497,2219,2219
2025-09-24 00:00:00+00:00,Mid,30533043.888333466,3571,3571
2025-09-24 00:00:00+00:00,Retail,11836409.373600889,22455,22455
2025-09-24 00:00:00+00:00,Whale,1017873851.5177356,2398,2398
2025-09-25 00:00:00+00:00,Mid,55353462.02566856,4871,4871
2025-09-25 00:00:00+00:00,Retail,14770808.348357592,19638,19638
2025-09-25 00:00:00+00:00,Whale,1723075343.6281326,3358,3358
2025-09-26 00:00:00+00:00,Mid,30986725.710589252,3578,3578
2025-09-26 00:00:00+00:00,Retail,11451559.277812054,19825,19825
2025-09-26 00:00:00+00:00,Whale,861206842.883749,2571,2571
2025-09-27 00:00:00+00:00,Mid,27799519.273074318,3253,3253
2025-09-27 00:00:00+00:00,Retail,13749211.826627642,23632,23632
2025-09-27 00:00:00+00:00,Whale,510379939.68424296,2099,2099
2025-09-28 00:00:00+00:00,Mid,19708236.746886764,2930,2930
2025-09-28 00:00:00+00:00,Retail,10370489.441443544,21190,21190
2025-09-28 00:00:00+00:00,Whale,472354262.8942023,2058,2058
2025-09-29 00:00:00+00:00,Mid,40579543.67557696,4562,4562
2025-09-29 00:00:00+00:00,Retail,18354451.243960105,23243,23243
2025-09-29 00:00:00+00:00,Whale,767459920.0091287,2612,2612
2025-09-30 00:00:00+00:00,Mid,30824558.613427993,4100,4100
2025-09-30 00:00:00+00:00,Retail,13023380.881255154,22713,22713
2025-09-30 00:00:00+00:00,Whale,736946549.226333,2437,2437
2025-10-01 00:00:00+00:00,Mid,30056693.552231956,3957,3957
2025-10-01 00:00:00+00:00,Retail,12276759.098048167,20994,20994
2025-10-01 00:00:00+00:00,Whale,715983149.0581565,2458,2458
2025-10-02 00:00:00+00:00,Mid,34758871.67258692,4287,4287
2025-10-02 00:00:00+00:00,Retail,13669297.846190313,21982,21982
2025-10-02 00:00:00+00:00,Whale,879819729.2505586,2593,2593
2025-10-03 00:00:00+00:00,Mid,33168766.197146546,4138,4138
2025-10-03 00:00:00+00:00,Retail,13273365.41778158,21612,21612
2025-10-03 00:00:00+00:00,Whale,880962572.8851084,2523,2523
2025-10-04 00:00:00+00:00,Mid,22047129.467866838,3487,3487
2025-10-04 00:00:00+00:00,Retail,11633192.017664077,22182,22182
2025-10-04 00:00:00+00:00,Whale,395400154.84867245,2128,2128
2025-10-05 00:00:00+00:00,Mid,25176350.52028824,3712,3712
2025-10-05 00:00:00+00:00,Retail,11934238.533088043,21219,21219
2025-10-05 00:00:00+00:00,Whale,587938097.7101213,2316,2316
2025-10-06 00:00:00+00:00,Mid,43785635.5776002,4869,4869
2025-10-06 00:00:00+00:00,Retail,16929589.80885634,22463,22463
2025-10-06 00:00:00+00:00,Whale,857811768.9552895,2695,2695
2025-10-07 00:00:00+00:00,Mid,37136974.10036831,4652,4652
2025-10-07 00:00:00+00:00,Retail,14675633.694269195,22661,22661
2025-10-07 00:00:00+00:00,Whale,1050049855.04607,2663,2663
2025-10-08 00:00:00+00:00,Mid,27935118.571951605,3914,3914
2025-10-08 00:00:00+00:00,Retail,12485666.843991928,21987,21987
2025-10-08 00:00:00+00:00,Whale,735615237.0166876,2430,2430
2025-10-09 00:00:00+00:00,Mid,34407593.740840055,4298,4298
2025-10-09 00:00:00+00:00,Retail,12262379.325940378,19531,19531
2025-10-09 00:00:00+00:00,Whale,933998359.106414,2682,2682
2025-10-10 00:00:00+00:00,Mid,54151089.28208475,5085,5085
2025-10-10 00:00:00+00:00,Retail,13668167.084007625,18150,18150
2025-10-10 00:00:00+00:00,Whale,2452641915.2619815,3547,3547
2025-10-11 00:00:00+00:00,Mid,48508469.166128,5240,5240
2025-10-11 00:00:00+00:00,Retail,16392176.568180606,21314,21314
2025-10-11 00:00:00+00:00,Whale,1195765593.1436653,3321,3321
2025-10-12 00:00:00+00:00,Mid,33680110.39591468,4221,4221
2025-10-12 00:00:00+00:00,Retail,11577731.402727332,18400,18400
2025-10-12 00:00:00+00:00,Whale,1154538971.0503266,2958,2958
2025-10-13 00:00:00+00:00,Mid,27707139.21363048,3809,3809
2025-10-13 00:00:00+00:00,Retail,10492592.872305943,17194,17194
2025-10-13 00:00:00+00:00,Whale,1001100393.450525,2864,2864
2025-10-14 00:00:00+00:00,Mid,34873148.28276423,4186,4186
2025-10-14 00:00:00+00:00,Retail,11301058.831068275,17642,17642
2025-10-14 00:00:00+00:00,Whale,1308456506.8512695,3108,3108
2025-10-15 00:00:00+00:00,Mid,32817524.665969055,4153,4153
2025-10-15 00:00:00+00:00,Retail,12642480.758912321,17546,17546
2025-10-15 00:00:00+00:00,Whale,1003604511.3822774,2903,2903
2025-10-16 00:00:00+00:00,Mid,31125137.61582672,3953,3953
